,tradedate,ICmIH,signal_x,signal_y,signal,ret,cum,fee_cum,fee,fee_ret
161,2015-12-15,0.020302152410757723,0.0,-1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0004,-0.0004
162,2015-12-16,0.005668323803027509,1.0,-1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0,0.0
163,2015-12-17,0.01435806103190029,1.0,-1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0,0.0
164,2015-12-18,-0.004339932603424579,1.0,-1.0,0.0,-0.0,1.2538682614175787,1.216399589956498,0.0,-0.0
165,2015-12-21,-0.015861246594926603,0.0,-1.0,0.0,-0.0,1.2538682614175787,1.216399589956498,0.0,-0.0
166,2015-12-22,0.009056123696797314,0.0,-1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0,0.0
167,2015-12-23,-0.019816993464052413,1.0,-1.0,0.0,-0.0,1.2538682614175787,1.216399589956498,0.0,-0.0
168,2015-12-24,0.007442229374047148,0.0,1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0,0.0
169,2015-12-25,-0.0009927214725642397,1.0,-1.0,0.0,-0.0,1.2538682614175787,1.216399589956498,0.0,-0.0
170,2015-12-28,0.00242835831499022,1.0,-1.0,0.0,0.0,1.2538682614175787,1.216399589956498,0.0,0.0
171,2015-12-29,0.0023858900479907237,1.0,1.0,1.0,0.0023858900479907237,1.2568598532239863,1.2188152257965728,0.0004,0.0019858900479907235
172,2015-12-30,0.015218194904209503,1.0,-1.0,0.0,0.0,1.2568598532239863,1.2183276997062542,0.0004,-0.0004
173,2015-12-31,-0.015049730802482062,0.0,-1.0,0.0,-0.0,1.2568598532239863,1.2183276997062542,0.0,-0.0
174,2016-01-04,-0.007224912338679945,-1.0,1.0,0.0,-0.0,1.2568598532239863,1.2183276997062542,0.0,-0.0
175,2016-01-05,-0.029583529956316187,-1.0,-1.0,-1.0,0.029583529956316187,1.294042204342729,1.2538828026272415,0.0004,0.029183529956316186
176,2016-01-06,0.005284832956445884,-1.0,1.0,0.0,0.0,1.294042204342729,1.2533812495061907,0.0004,-0.0004
177,2016-01-07,-0.004531970143029085,1.0,1.0,1.0,-0.004531970143029085,1.2881776437088284,1.2471996106057937,0.0004,-0.004931970143029085
178,2016-01-08,-0.016297828550258187,-1.0,-1.0,-1.0,0.016297828550258187,1.3091721420882705,1.2665284963389112,0.0008,0.015497828550258186
179,2016-01-11,-0.033227299632851204,-1.0,1.0,0.0,-0.0,1.3091721420882705,1.2660218849403757,0.0004,-0.0004
