,tradedate,ICopen_f,ICopen2_f,IHopen_f,IHopen2_f,drest,ICopen_i,ICopen2_i,IHopen_i,IHopen2_i,ICbasis2,ICbasis,ICdbasis,IHbasis2,IHbasis,IHdbasis,ddbasis,signal,ret,fee,fee_ret,cum,fee_cum
872,2018-11-09,4347.8,4366.8,2475.0,2459.0,0.010462067976181544,4363.21,4371.84,2469.89,2452.43,5.039999999999964,15.409999999999854,-10.36999999999989,-6.570000000000164,-5.110000000000127,-1.4600000000000364,-8.909999999999854,1.0,0.010462067976181544,0.0004,0.010062067976181545,0.8657411075831729,0.6377143468315049
873,2018-11-12,4368.0,4381.0,2435.0,2430.0,0.018726637566070403,4360.63,4376.12,2426.83,2424.38,-4.880000000000109,-7.369999999999891,2.4899999999997817,-5.619999999999891,-8.170000000000073,2.550000000000182,-0.06000000000040018,1.0,0.018726637566070403,0.0004,0.018326637566070402,0.8819535275309314,0.6494015065365691
874,2018-11-13,4440.0,4485.6,2417.8,2422.8,0.003436918562049973,4430.95,4482.9399,2415.3,2424.83,-2.6601000000000568,-9.050000000000182,6.389900000000125,2.0299999999997453,-2.5,4.529999999999745,1.8599000000003798,-1.0,-0.003436918562049973,0.0004,-0.0038369185620499733,0.8789223250812949,0.6469098058419158
875,2018-11-14,4576.8,4555.0,2461.2,2447.0,0.00699251800071521,4551.8,4549.75,2462.18,2445.82,-5.25,-25.0,19.75,-1.1799999999998363,0.9800000000000182,-2.1599999999998545,21.909999999999854,-1.0,-0.00699251800071521,0.0004,-0.00739251800071521,0.8727764449019334,0.6421275134573903
876,2018-11-15,4543.6,4576.0,2432.4,2430.4,-0.002399098597255289,4540.88,4569.74,2430.19,2432.39,-6.260000000000218,-2.7200000000002547,-3.5399999999999636,1.9899999999997817,-2.2100000000000364,4.199999999999818,-7.739999999999782,1.0,-0.002399098597255289,0.0004,-0.0027990985972552894,0.8706825681572518,0.6403301352352126
877,2018-11-16,4625.0,4634.0,2461.0,2455.2,-3.602229993426853e-05,4625.0,4632.35,2458.48,2452.92,-1.6499999999996362,0.0,-1.6499999999996362,-2.2799999999997453,-2.519999999999982,0.24000000000023647,-1.8899999999998727,1.0,-3.602229993426853e-05,0.0004,-0.00043602229993426855,0.8706512041686341,0.6400509370169302
878,2018-11-19,4657.0,4641.2,2471.0,2491.8,0.0007108690978527843,4660.4799,4653.87,2466.43,2486.58,12.670000000000073,3.4799000000002707,9.190099999999802,-5.220000000000255,-4.570000000000164,-0.650000000000091,9.840099999999893,-1.0,-0.0007108690978527843,0.0004,-0.0011108690978527843,0.8700322851325822,0.6393399242099463
879,2018-11-20,4627.6,4611.0,2486.8,2477.6,-0.010936577726453069,4629.13,4635.21,2475.23,2471.13,24.210000000000036,1.5299999999997453,22.68000000000029,-6.4699999999998,-11.570000000000164,5.100000000000364,17.579999999999927,-1.0,0.010936577726453069,0.0004,0.01053657772645307,0.8795474608434584,0.646076379015009
880,2018-11-21,4480.0,4481.0,2438.0,2449.6,0.010849051172007185,4483.38,4513.33,2425.7199,2444.3,32.32999999999993,3.380000000000109,28.949999999999818,-5.299999999999727,-12.280099999999948,6.9801000000002205,21.969899999999598,-1.0,-0.010849051172007185,0.0004,-0.011249051172007184,0.8700052054325587,0.6388086327664441
881,2018-11-22,4550.0,4537.6,2460.0,2434.8,-0.005599685785540709,4562.64,4555.65,2455.77,2434.35,18.049999999999272,12.640000000000327,5.409999999998945,-0.45000000000027285,-4.230000000000018,3.7799999999997453,1.6299999999991996,-1.0,0.005599685785540709,0.0004,0.005199685785540709,0.8748769612147658,0.6421302369339205
882,2018-11-23,4514.0,4440.2,2438.0,2438.8,-0.011364813951694752,4542.11,4478.42,2433.53,2434.21,38.220000000000255,28.109999999999673,10.110000000000582,-4.5900000000001455,-4.4699999999998,-0.12000000000034561,10.230000000000928,-1.0,0.011364813951694752,0.0004,0.010964813951694753,0.8848197751095958,0.6491710755146586
883,2018-11-26,4338.0,4362.6,2414.0,2415.8,-0.007747168622139533,4371.42,4400.24,2409.4699,2410.85,37.63999999999942,33.42000000000007,4.219999999999345,-4.950000000000273,-4.530099999999948,-0.41990000000032524,4.63989999999967,-1.0,0.007747168622139533,0.0004,0.007347168622139533,0.8916746231075734,0.6539406448710805
884,2018-11-27,4347.6,4328.6,2412.8,2405.8,0.007926822965647284,4393.29,4386.51,2407.23,2401.37,57.909999999999854,45.6899999999996,12.220000000000255,-4.430000000000291,-5.570000000000164,1.1399999999998727,11.080000000000382,-1.0,-0.007926822965647284,0.0004,-0.008326822965647284,0.8846064762272394,0.6484953968911978
885,2018-11-28,4342.4,4288.6,2399.6,2401.8,0.016599506098014638,4389.83,4338.77,2396.3,2396.62,50.17000000000007,47.43000000000029,2.7399999999997817,-5.180000000000291,-3.299999999999727,-1.8800000000005639,4.620000000000346,-1.0,-0.016599506098014638,0.0004,-0.01699950609801464,0.8699224456307622,0.6374712954372115
886,2018-11-29,4447.0,4418.6,2438.0,2434.6,-0.014879335295641229,4462.79,4454.1,2437.92,2431.83,35.5,15.789999999999964,19.710000000000036,-2.769999999999982,-0.07999999999992724,-2.6900000000000546,22.40000000000009,-1.0,0.014879335295641229,0.0004,0.01447933529564123,0.8828663133805066,0.6467014560651936
887,2018-11-30,4303.6,4316.6,2412.8,2425.0,-0.00036424620178854283,4334.04,4346.79,2403.23,2418.13,30.1899999999996,30.4399999999996,-0.25,-6.869999999999891,-9.570000000000164,2.700000000000273,-2.950000000000273,1.0,-0.00036424620178854283,0.0004,-0.0007642462017885428,0.8825447326791707,0.6462072169337046
888,2018-12-03,4488.6,4478.4,2498.0,2479.8,-0.005058406760493961,4483.66,4490.58,2492.43,2475.62,12.180000000000291,-4.940000000000509,17.1200000000008,-4.180000000000291,-5.570000000000164,1.3899999999998727,15.730000000000928,-1.0,0.005058406760493961,0.0004,0.004658406760493961,0.8870090029213933,0.6492175130017487
889,2018-12-04,4458.8,4486.6,2485.4,2488.4,0.0014184301316892967,4506.25,4516.7299,2488.58,2488.23,30.129899999999907,47.44999999999982,-17.32009999999991,-0.17000000000007276,3.1799999999998363,-3.349999999999909,-13.970100000000002,1.0,0.0014184301316892967,0.0004,0.0010184301316892967,0.8882671632182166,0.6498786956790101
890,2018-12-05,4429.8,4472.0,2477.0,2491.8,0.0002751421801254761,4456.2,4488.79,2467.56,2483.81,16.789999999999964,26.399999999999636,-9.609999999999673,-7.9900000000002365,-9.440000000000055,1.449999999999818,-11.05999999999949,1.0,0.0002751421801254761,0.0004,-0.00012485781987452393,0.8885115629820384,0.6497975532418848
891,2018-12-06,4429.0,4432.6,2460.2,2459.0,-0.003835319948321203,4476.81,4468.78,2453.56,2455.07,36.17999999999938,47.8100000000004,-11.630000000001019,-3.9299999999998363,-6.639999999999873,2.7100000000000364,-14.340000000001055,1.0,-0.003835319948321203,0.0004,-0.004235319948321203,0.8851038368602193,0.6470454527022692
892,2018-12-07,4408.6,4400.2,2452.4,2449.6,0.0033861985847030147,4419.61,4417.2299,2441.38,2442.57,17.029900000000453,11.009999999999309,6.019900000001144,-7.029999999999745,-11.019999999999982,3.9900000000002365,2.0299000000009073,-1.0,-0.0033861985847030147,0.0004,-0.003786198584703015,0.882106699500528,0.6445956101250094
893,2018-12-10,4362.2,4366.4,2419.8,2424.6,-0.003607818776558247,4381.38,4386.24,2410.17,2417.7,19.840000000000146,19.18000000000029,0.6599999999998545,-6.900000000000091,-9.63000000000011,2.730000000000018,-2.0700000000001637,1.0,-0.003607818776558247,0.0004,-0.004007818776558247,0.8789242183871422,0.6420121877354634
894,2018-12-11,4356.4,4368.4,2418.0,2420.8,0.0033122273991674773,4373.03,4381.51,2408.92,2413.16,13.110000000000582,16.63000000000011,-3.519999999999527,-7.640000000000327,-9.079999999999927,1.4399999999995998,-4.959999999999127,1.0,0.0033122273991674773,0.0004,0.002912227399167477,0.8818354152650759,0.6438818732191861
895,2018-12-12,4401.0,4384.4,2439.4,2433.0,-0.000407734135519644,4408.91,4408.8,2437.61,2429.66,24.400000000000546,7.9099999999998545,16.49000000000069,-3.3400000000001455,-1.7899999999999636,-1.550000000000182,18.040000000000873,-1.0,0.000407734135519644,0.0004,7.734135519643973e-06,0.8821949696657896,0.6438868530888522
896,2018-12-13,4384.8,4372.6,2429.8,2437.6,0.0039015260784776022,4405.09,4393.24,2429.39,2433.09,20.639999999999418,20.289999999999964,0.3499999999994543,-4.5099999999997635,-0.41000000000030923,-4.099999999999454,4.449999999998909,-1.0,-0.0039015260784776022,0.0004,-0.004301526078477602,0.8787530629853367,0.6411171569987016
897,2018-12-14,4420.2,4417.2,2449.0,2443.4,-0.014183699783528068,4436.0,4427.1899,2446.81,2440.88,9.989900000000489,15.800000000000182,-5.810099999999693,-2.519999999999982,-2.1900000000000546,-0.32999999999992724,-5.480099999999766,1.0,-0.014183699783528068,0.0004,-0.014583699783528067,0.8662890933560969,0.6317672968549636
898,2018-12-17,4320.0,4286.8,2429.2,2422.6,0.0047223964936999865,4322.59,4294.9799,2420.58,2416.14,8.179900000000089,2.5900000000001455,5.589899999999943,-6.460000000000036,-8.61999999999989,2.1599999999998545,3.4299000000000888,-1.0,-0.0047223964936999865,0.0004,-0.005122396493699987,0.8621981327791015,0.6285311342687194
899,2018-12-18,4305.0,4339.4,2418.6,2432.0,0.003712286351739258,4308.05,4339.08,2409.58,2426.58,-0.31999999999970896,3.050000000000182,-3.369999999999891,-5.420000000000073,-9.019999999999982,3.599999999999909,-6.9699999999998,1.0,0.003712286351739258,0.0004,0.0033122863517392577,0.8653988591399125,0.6306130093664009
