,tradedate,ICopen_f,ICopen2_f,IHopen_f,IHopen2_f,drest,ICopen_i,ICopen2_i,IHopen_i,IHopen2_i,ICbasis2,ICbasis,ICdbasis,IHbasis2,IHbasis,IHdbasis,ddbasis,signal,ret,fee,fee_ret,cum,fee_cum
553,2017-07-20,6038.2,6048.6,2662.8,2663.8,0.001871816785923519,6052.51,6065.75,2653.38,2659.1,17.149999999999636,14.3100000000004,2.839999999999236,-4.700000000000273,-9.420000000000073,4.7199999999998,-1.8800000000005639,-1.0,-0.001871816785923519,0.0004,-0.0022718167859235193,0.893448516691739,0.6914839234488079
554,2017-07-21,6017.0,6023.4,2662.4,2656.4,0.009053620759077896,6089.66,6091.11,2655.23,2652.66,67.71000000000004,72.65999999999985,-4.949999999999818,-3.7400000000002365,-7.170000000000073,3.4299999999998363,-8.379999999999654,-1.0,-0.009053620759077896,0.0004,-0.009453620759077895,0.8853595726538512,0.6849468966755237
555,2017-07-24,6044.2,6053.0,2642.0,2635.0,-0.005537800033919238,6121.33,6126.35,2636.55,2634.34,73.35000000000036,77.13000000000011,-3.7799999999997453,-0.6599999999998545,-5.449999999999818,4.789999999999964,-8.569999999999709,-1.0,0.005537800033919238,0.0004,0.005137800033919238,0.8902625169253244,0.688466016864496
556,2017-07-25,6085.4,6077.4,2662.0,2664.2,0.008657697381826535,6159.41,6162.37,2656.48,2663.04,84.97000000000025,74.01000000000022,10.960000000000036,-1.1599999999998545,-5.519999999999982,4.360000000000127,6.599999999999909,1.0,0.008657697381826535,0.0004,0.008257697381826535,0.897970140387247,0.6941511608894345
557,2017-07-26,6099.0,6088.0,2646.0,2648.8,0.003385858709331613,6151.85,6157.83,2642.26,2646.58,69.82999999999993,52.850000000000364,16.979999999999563,-2.2200000000002547,-3.7399999999997817,1.519999999999527,15.460000000000036,1.0,0.003385858709331613,0.0004,0.0029858587093316126,0.9010105404077968,0.6962237981787689
558,2017-07-27,6065.6,6063.4,2630.6,2625.4,0.007990185039970399,6136.96,6128.62,2632.0,2625.14,65.22000000000025,71.35999999999967,-6.139999999999418,-0.2600000000002183,1.400000000000091,-1.6600000000003092,-4.479999999999109,-1.0,-0.007990185039970399,0.0004,-0.008390185039970398,0.8938112994669748,0.690382351682818
559,2017-07-28,6120.0,6129.2,2628.0,2621.8,0.003873032664484244,6170.66,6169.82,2627.16,2619.95,40.61999999999989,50.659999999999854,-10.039999999999964,-1.8500000000003638,-0.8400000000001455,-1.0100000000002183,-9.029999999999745,-1.0,-0.003873032664484244,0.0004,-0.004273032664484244,0.8903495391082541,0.687432325343094
560,2017-07-31,6181.2,6165.0,2638.8,2646.2,0.01918996669266293,6214.66,6211.87,2633.88,2641.36,46.86999999999989,33.460000000000036,13.409999999999854,-4.839999999999691,-4.920000000000073,0.08000000000038199,13.329999999999472,1.0,0.01918996669266293,0.0004,0.01878996669266293,0.9074353171085693,0.7003491558397505
561,2017-08-01,6266.2,6265.2,2646.6,2641.6,-0.01810292945992642,6293.06,6292.07,2640.87,2639.15,26.86999999999989,26.860000000000582,0.009999999999308784,-2.449999999999818,-5.730000000000018,3.2800000000002,-3.2700000000008913,-1.0,0.01810292945992642,0.0004,0.01770292945992642,0.9238625546436317,0.7127473875429007
562,2017-08-02,6258.0,6261.0,2683.0,2685.8,-0.006058321195637095,6289.25,6294.06,2679.34,2681.4,33.0600000000004,31.25,1.8100000000004002,-4.400000000000091,-3.6599999999998545,-0.7400000000002365,2.5500000000006366,1.0,-0.006058321195637095,0.0004,-0.0064583211956370954,0.9182654985469787,0.7081442359827974
563,2017-08-03,6215.6,6224.4,2685.8,2688.8,0.01735368467935539,6240.15,6252.12,2676.35,2683.0,27.720000000000255,24.549999999999272,3.1700000000009823,-5.800000000000182,-9.450000000000273,3.650000000000091,-0.4799999999991087,-1.0,-0.01735368467935539,0.0004,-0.01775368467935539,0.9023302086332634,0.6955720665096559
564,2017-08-04,6235.4,6258.0,2650.0,2650.4,-0.002653332982198053,6258.85,6272.34,2644.45,2649.79,14.340000000000146,23.450000000000728,-9.110000000000582,-0.6100000000001273,-5.550000000000182,4.940000000000055,-14.050000000000637,-1.0,0.002653332982198053,0.0004,0.0022533329821980527,0.9047243911366637,0.6971394219886178
565,2017-08-07,6205.0,6200.8,2631.4,2632.6,0.011632987626449154,6227.52,6238.57,2621.55,2631.48,37.76999999999953,22.520000000000437,15.24999999999909,-1.1199999999998909,-9.849999999999909,8.730000000000018,6.519999999999072,1.0,0.011632987626449154,0.0004,0.011232987626449155,0.9152490387841032,0.7049703804897258
566,2017-08-08,6280.0,6291.6,2637.0,2633.8,-0.004222515032585084,6302.03,6307.58,2632.04,2633.48,15.979999999999563,22.029999999999745,-6.050000000000182,-0.3200000000001637,-4.960000000000036,4.639999999999873,-10.690000000000055,-1.0,0.004222515032585084,0.0004,0.0038225150325850842,0.9191136916089283,0.7076651403666749
567,2017-08-09,6270.0,6279.4,2630.4,2628.4,0.010160497214074192,6296.12,6300.42,2630.67,2627.77,21.020000000000437,26.11999999999989,-5.099999999999454,-0.6300000000001091,0.2699999999999818,-0.900000000000091,-4.199999999999363,-1.0,-0.010160497214074192,0.0004,-0.010560497214074191,0.9097750395059183,0.7001918446233353
568,2017-08-10,6296.0,6308.8,2618.4,2618.2,-0.004960446018896668,6322.83,6325.63,2617.9899,2618.3,16.829999999999927,26.829999999999927,-10.0,0.1000000000003638,-0.41010000000005675,0.5101000000004206,-10.51010000000042,-1.0,0.004960446018896668,0.0004,0.004560446018896668,0.914287929478727,0.7033850317336117
569,2017-08-11,6231.2,6214.0,2596.6,2595.2,6.192512273894835e-05,6242.49,6243.6,2592.04,2595.08,29.600000000000364,11.289999999999964,18.3100000000004,-0.11999999999989086,-4.559999999999945,4.440000000000055,13.870000000000346,1.0,6.192512273894835e-05,0.0004,-0.0003380748772610517,0.9143445468709787,0.7031472349253411
570,2017-08-14,6159.0,6167.0,2570.0,2571.6,0.013528171145003487,6165.13,6187.9399,2572.3,2573.7,20.939900000000307,6.130000000000109,14.809900000000198,2.099999999999909,2.300000000000182,-0.20000000000027285,15.00990000000047,1.0,0.013528171145003487,0.0004,0.013128171145003488,0.92671395638655,0.712378272165577
571,2017-08-15,6283.2,6282.2,2591.8,2600.6,-4.610255500470117e-06,6291.18,6295.84,2593.07,2604.48,13.640000000000327,7.980000000000473,5.6599999999998545,3.880000000000109,1.2699999999999818,2.6100000000001273,3.049999999999727,1.0,-4.610255500470117e-06,0.0004,-0.00040461025550047014,0.9267096839984351,0.7120900366108631
572,2017-08-16,6290.0,6300.8,2599.8,2598.4,0.004167584005283942,6307.17,6310.93,2601.4699,2599.46,10.13000000000011,17.170000000000073,-7.039999999999964,1.0599999999999454,1.6698999999998705,-0.6098999999999251,-6.430100000000039,-1.0,-0.004167584005283942,0.0004,-0.004567584005283942,0.9228475435418615,0.7088375055493173
573,2017-08-17,6327.0,6337.0,2600.0,2600.0,0.003621660334300225,6327.03,6339.91,2599.04,2600.16,2.9099999999998545,0.02999999999974534,2.880000000000109,0.15999999999985448,-0.9600000000000364,1.1199999999998909,1.7600000000002183,1.0,0.003621660334300225,0.0004,0.003221660334300225,0.9261897838849135,0.7111211392244099
574,2017-08-18,6295.2,6290.0,2599.8,2601.2,-0.006307109816259482,6324.9,6330.07,2601.88,2601.73,40.06999999999971,29.699999999999818,10.36999999999989,0.5300000000002001,2.0799999999999272,-1.5499999999997272,11.919999999999618,1.0,-0.006307109816259482,0.0004,-0.006707109816259482,0.9203482032072536,0.7063515716509683
575,2017-08-21,6300.4,6331.6,2622.0,2636.0,0.011352058240809648,6354.1,6368.95,2619.04,2627.05,37.349999999999454,53.70000000000073,-16.350000000001273,-8.949999999999818,-2.9600000000000364,-5.989999999999782,-10.360000000001492,-1.0,-0.011352058240809648,0.0004,-0.011752058240809648,0.9099003568026204,0.6980504868424388
576,2017-08-22,6361.4,6347.2,2626.0,2624.4,-0.009690178694546914,6396.93,6394.32,2624.41,2624.83,47.11999999999989,35.530000000000655,11.589999999999236,0.4299999999998363,-1.5900000000001455,2.019999999999982,9.569999999999254,1.0,-0.009690178694546914,0.0004,-0.010090178694546913,0.901083259750971,0.6910070326923831
577,2017-08-23,6330.0,6325.0,2645.2,2648.8,-0.012106443606949013,6359.78,6362.55,2641.79,2644.01,37.55000000000018,29.779999999999745,7.770000000000437,-4.789999999999964,-3.4099999999998545,-1.3800000000001091,9.150000000000546,1.0,-0.012106443606949013,0.0004,-0.012506443606949013,0.8901743460816302,0.6823649922060107
