,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,fee_ret,cum,fee_cum
866,IC1811.CCFX,2018-11-01,IH1811.CCFX,4301.0,4315.6,0.003394559404789721,4280.0,-0.008249142645286978,2481.6,2473.0,-0.003465506125080564,2460.0,-0.005256773150020266,0.006860065529870285,1.0,-0.0029923694952667113,-0.0029923694952667113,-0.0033923694952667114,3.0947131591882404,2.1894202647116328
867,IC1811.CCFX,2018-11-02,IH1811.CCFX,4411.0,4400.2,-0.0024484243935616323,4436.0,0.008135993818462861,2530.0,2512.6,-0.006877470355731274,2546.8,0.013611398551301557,0.004429045962169642,1.0,-0.005475404732838696,-0.005475404732838696,-0.005875404732838696,3.077768352109643,2.1765565345261733
868,IC1811.CCFX,2018-11-05,IH1811.CCFX,4421.2,4408.4,-0.002895141590518402,4430.2,0.00494510479992738,2521.0,2522.6,0.0006346687822291752,2511.0,-0.004598430191072644,-0.003529810372747577,-1.0,0.009543534991000024,-0.009543534991000024,-0.009943534991000024,3.048395562147092,2.1549138684652225
869,IC1811.CCFX,2018-11-06,IH1811.CCFX,4413.4,4400.6,-0.00290025830425511,4439.2,0.008771531154842416,2513.2,2508.6,-0.0018303358268342285,2499.2,-0.003747109941800275,-0.0010699224774208815,-1.0,0.012518641096642691,-0.012518641096642691,-0.01291864109664269,3.0102337921839744,2.1270753096043427
870,IC1811.CCFX,2018-11-07,IH1811.CCFX,4443.0,4425.2,-0.004006302048165655,4388.4,-0.008316008316008316,2506.8,2501.4,-0.0021541407371948873,2480.6,-0.0083153434076918,-0.001852161310970768,-1.0,-6.649083165166658e-07,6.649083165166658e-07,-0.00039933509168348335,3.010235793713457,2.126225893790564
871,IC1811.CCFX,2018-11-08,IH1811.CCFX,4447.6,4422.4,-0.005665977156219193,4370.8,-0.011667872648335575,2507.0,2500.4,-0.0026326286398085097,2490.4,-0.0039993601023836645,-0.0030333485164106833,-1.0,-0.007668512545951911,0.007668512545951911,0.007268512545951911,3.033319824663822,2.1416803933751085
872,IC1811.CCFX,2018-11-09,IH1811.CCFX,4347.8,4353.0,0.001196007176043068,4368.8,0.003629680679990921,2475.0,2465.4,-0.003878787878787815,2434.4,-0.012574024499067082,0.005074795054830883,1.0,0.016203705179058003,0.016203705179058003,0.015803705179058002,3.082470844816467,2.175526878899778
873,IC1811.CCFX,2018-11-12,IH1811.CCFX,4368.0,4381.8,0.003159340659340648,4487.2,0.024054041718015284,2435.0,2442.8,0.0032032854209447237,2443.4,0.0002456197805795757,-4.3944761604075566e-05,-1.0,0.02380842193743571,-0.02380842193743571,-0.02420842193743571,3.0090820783332326,2.1228608062791396
874,IC1811.CCFX,2018-11-13,IH1811.CCFX,4440.0,4461.2,0.004774774774774837,4571.0,0.02461221196090735,2417.8,2420.4,0.0010753577632558464,2460.6,0.016608824987605297,0.0036994170115189906,1.0,0.008003386973302051,0.008003386973302051,0.007603386973302051,3.0331649266405614,2.139001738479736
875,IC1811.CCFX,2018-11-14,IH1811.CCFX,4576.8,4582.6,0.0012672609683621605,4552.6,-0.006546501985772224,2461.2,2455.6,-0.0022753128555176305,2428.6,-0.01099527610359996,0.003542573823879791,1.0,0.004448774117827736,0.004448774117827736,0.004048774117827736,3.046658792261302,2.1476620733564813
876,IC1811.CCFX,2018-11-15,IH1811.CCFX,4543.6,4569.4,0.0056783167532352685,4620.0,0.011073663938372835,2432.4,2434.4,0.0008222331853313669,2459.6,0.010351626684193205,0.004856083567903902,1.0,0.0007220372541796305,0.0007220372541796305,0.0003220372541796305,3.0488585934100887,2.148353700553491
877,IC1812.CCFX,2018-11-16,IH1812.CCFX,4625.0,4630.2,0.0011243243243241885,4647.8,0.0038011317005746115,2461.0,2460.8,-8.126777732619939e-05,2462.6,0.0007314694408322442,0.0012055921016503879,1.0,0.0030696622597423673,0.0030696622597423673,0.002669662259742367,3.0582175595695706,2.1540890793484366
878,IC1812.CCFX,2018-11-19,IH1812.CCFX,4657.0,4671.0,0.0030062271848829702,4659.4,-0.002483408263755149,2471.0,2473.0,0.0008093889113718333,2499.8,0.010837040032349421,0.002196838273511137,1.0,-0.01332044829610457,-0.01332044829610457,-0.01372044829610457,3.017480730689085,2.124534011510033
879,IC1812.CCFX,2018-11-20,IH1812.CCFX,4627.6,4621.4,-0.001339787362779954,4520.0,-0.021941403038040375,2486.8,2486.0,-0.00032169856844144196,2455.8,-0.01214802896218814,-0.001018088794338512,-1.0,-0.009793374075852235,0.009793374075852235,0.009393374075852235,3.0470320482513995,2.144490554217018
880,IC1812.CCFX,2018-11-21,IH1812.CCFX,4480.0,4480.8,0.00017857142857136132,4536.2,0.01236386359578634,2438.0,2445.0,0.0028712059064808226,2453.2,0.003353783231083707,-0.0026926344779094613,-1.0,0.009010080364702633,-0.009010080364702633,-0.009410080364702632,3.01957804462283,2.1243107257604903
881,IC1812.CCFX,2018-11-22,IH1812.CCFX,4550.0,4544.6,-0.0011868131868131293,4523.0,-0.004752893543986336,2460.0,2448.2,-0.004796747967479753,2440.6,-0.0031043215423576243,0.0036099347806666238,1.0,-0.001648572001628712,-0.001648572001628712,-0.002048572001628712,3.014600052801732,2.1199589222849378
882,IC1812.CCFX,2018-11-23,IH1812.CCFX,4514.0,4493.4,-0.004563579973416165,4328.2,-0.03676503315974533,2438.0,2437.0,-0.00041017227235440323,2405.0,-0.013130898645876132,-0.004153407701061762,-1.0,-0.0236341345138692,0.0236341345138692,0.023234134513869197,3.0858475159551655,2.169214333049183
883,IC1812.CCFX,2018-11-26,IH1812.CCFX,4338.0,4335.4,-0.0005993545412633638,4315.8,-0.004520920791622363,2414.0,2413.6,-0.0001657000828501065,2408.6,-0.0020715942989725233,-0.00043365445841325734,-1.0,-0.0024493264926498393,0.0024493264926498393,0.002049326492649839,3.093405764028272,2.1736597614501365
884,IC1812.CCFX,2018-11-27,IH1812.CCFX,4347.6,4340.4,-0.0016560861164782725,4344.2,0.0008754953460510251,2412.8,2407.6,-0.0021551724137932604,2395.4,-0.005067286924738235,0.0004990862973149879,1.0,0.00594278227078926,0.00594278227078926,0.0055427822707892595,3.111789200959096,2.18570788423863
885,IC1812.CCFX,2018-11-28,IH1812.CCFX,4342.4,4340.4,-0.00046057479734706863,4398.0,0.013270666298037082,2399.6,2404.4,0.0020003333888982677,2423.2,0.007818998502744812,-0.0024609081862453364,-1.0,0.00545166779529227,-0.00545166779529227,-0.00585166779529227,3.094824759986489,2.172917847802515
886,IC1812.CCFX,2018-11-29,IH1812.CCFX,4447.0,4439.6,-0.0016640431751742124,4312.2,-0.028696278944049136,2438.0,2439.8,0.000738310090238059,2412.2,-0.011312402655955567,-0.0024023532654122715,-1.0,-0.01738387628809357,0.01738387628809357,0.01698387628809357,3.148624810747423,2.2098224157137834
887,IC1812.CCFX,2018-11-30,IH1812.CCFX,4303.6,4302.4,-0.0002788363230785684,4328.2,0.0059966530308666055,2412.8,2412.4,-0.00016578249336873796,2432.4,0.008290499088045022,-0.00011305382970983047,-1.0,-0.002293846057178417,0.002293846057178417,0.001893846057178417,3.15584727135509,2.2140074791828477
888,IC1812.CCFX,2018-12-03,IH1812.CCFX,4488.6,4461.8,-0.005970681281468604,4472.0,0.0022860728853826284,2498.0,2480.6,-0.0069655724579663625,2488.8,0.0033056518584213546,0.0009948911764977586,1.0,-0.0010195789730387261,-0.0010195789730387261,-0.001419578973038726,3.152629635835095,2.2108645207192494
889,IC1812.CCFX,2018-12-04,IH1812.CCFX,4458.8,4467.2,0.0018839149546963085,4514.6,0.010610673352435596,2485.4,2482.8,-0.0010461092781846038,2500.4,0.00708877074270986,0.0029300242328809123,1.0,0.0035219026097257355,0.0035219026097257355,0.0031219026097257354,3.1637328903770414,2.217766624436233
890,IC1812.CCFX,2018-12-05,IH1812.CCFX,4429.8,4455.2,0.005733893178021532,4470.0,0.003321960854731687,2477.0,2487.8,0.00436011303996775,2490.0,0.0008843154594420088,0.0013737801380537817,1.0,0.002437645395289678,0.002437645395289678,0.002037645395289678,3.1714449492891954,2.222285646386343
891,IC1812.CCFX,2018-12-06,IH1812.CCFX,4429.0,4420.6,-0.0018965906525174603,4388.2,-0.007329321811518907,2460.2,2462.0,0.0007316478335095411,2443.8,-0.00739236393176268,-0.0026282384860270014,-1.0,6.304212024377254e-05,-6.304212024377254e-05,-0.00046304212024377256,3.171245014675356,2.221256634528853
892,IC1812.CCFX,2018-12-07,IH1812.CCFX,4408.6,4402.0,-0.001497073901011725,4386.0,-0.0036347114947751225,2452.4,2450.2,-0.0008970804110260966,2433.4,-0.006856583136070404,-0.0005999934899856285,-1.0,0.003221871641295282,-0.003221871641295282,-0.003621871641295282,3.1610276702949744,2.213211528116214
893,IC1812.CCFX,2018-12-10,IH1812.CCFX,4362.2,4375.2,0.0029801476319288867,4336.6,-0.00882245383068192,2419.8,2426.0,0.0025621952227457,2416.8,-0.0037922506183016846,0.00041795240918318655,1.0,-0.005030203212380235,-0.005030203212380235,-0.0054302032123802356,3.1451270587534337,2.2011933397665606
894,IC1812.CCFX,2018-12-11,IH1812.CCFX,4356.4,4353.0,-0.0007804609310438915,4387.2,0.007856650585802871,2418.0,2424.0,0.002481389578163684,2423.2,-0.00033003300330036733,-0.0032618505092075756,-1.0,0.008186683589103239,-0.008186683589103239,-0.008586683589103238,3.1193788986758926,2.182292389039544
895,IC1812.CCFX,2018-12-12,IH1812.CCFX,4401.0,4396.0,-0.0011361054305839557,4371.8,-0.005505004549590464,2439.4,2431.4,-0.003279494957776463,2427.0,-0.001809656987743713,0.0021433895271925074,1.0,-0.0036953475618467513,-0.0036953475618467513,-0.0040953475618467515,3.1078517094681946,2.173355143224854
896,IC1812.CCFX,2018-12-13,IH1812.CCFX,4384.8,4380.0,-0.0010946907498632363,4430.2,0.011461187214611757,2429.8,2434.4,0.001893159930858479,2460.2,0.01059809398619782,-0.0029878506807217153,-1.0,0.0008630932284139359,-0.0008630932284139359,-0.0012630932284139358,3.105169343702838,2.1706099930605083
897,IC1812.CCFX,2018-12-14,IH1812.CCFX,4420.2,4424.8,0.0010406768924484666,4329.6,-0.02151509672753571,2449.0,2451.4,0.0009799918334014723,2429.6,-0.008892877539365296,6.068505904699428e-05,1.0,-0.012622219188170414,-0.012622219188170414,-0.013022219188170413,3.065975215630233,2.1423438339588414
898,IC1812.CCFX,2018-12-17,IH1812.CCFX,4320.0,4338.2,0.004212962962963029,4321.2,-0.00391867594855011,2429.2,2436.0,0.002799275481640162,2430.6,-0.002216748768472998,0.0014136874813228673,1.0,-0.0017019271800771119,-0.0017019271800771119,-0.002101927180077112,3.0607571490773093,2.137840783225173
899,IC1812.CCFX,2018-12-18,IH1812.CCFX,4305.0,4314.4,0.00218350754936103,4295.2,-0.004450213239384326,2418.6,2427.8,0.00380385346894907,2398.2,-0.012192108081390707,-0.0016203459195880399,-1.0,0.0077418948420063805,-0.0077418948420063805,-0.00814189484200638,3.0370610890922336,2.120434708379201
900,IC1812.CCFX,2018-12-19,IH1812.CCFX,4301.0,4291.4,-0.0022320390606836993,4236.2,-0.012862935172670897,2403.6,2399.8,-0.001580961890497501,2372.6,-0.011334277856488106,-0.0006510771701861984,-1.0,-0.001528657316182791,0.001528657316182791,0.001128657316182791,3.0417037147457684,2.1228279525263014
901,IC1812.CCFX,2018-12-20,IH1812.CCFX,4231.0,4251.6,0.004868825336799887,4264.0,0.0029165490638818348,2371.4,2373.2,0.0007590452897021649,2336.2,-0.01559076352604083,0.004109780047097722,1.0,0.018507312589922664,0.018507312589922664,0.018107312589922663,3.097997476200497,2.161266661837321
902,IC1901.CCFX,2018-12-21,IH1901.CCFX,4222.4,4223.0,0.00014209928003050543,4206.0,-0.00402557423632488,2336.2,2322.4,-0.00590702850783309,2313.2,-0.003961419221495177,0.006049127787863595,1.0,-6.41550148297032e-05,-6.41550148297032e-05,-0.0004641550148297032,3.097798724126469,2.160263499077845
