,instrumentID_IC,tradedate,instrumentID_IH,ICopen,ICopen2,ICopen_ret,ICclose,IC_rest_of_the_day,IHopen,IHopen2,IHopen_ret,IHclose,IH_rest_of_the_day,dopen,signal,drest,ret,cum,fee,fee_cum,fee_ret
933,IC1902.CCFX,2019-02-13,IH1902.CCFX,4442.7299,4440.25,-0.00055819283544567,4512.0,0.015575763032321888,2538.42,2530.4,-0.003159445639413505,2581.8,0.02023235596301287,0.002601252803967835,1.0,-0.004656592930690984,-0.004656592930690984,1.2826649352719763,0.0,1.0630150198176251,-0.004656592930690984
934,IC1902.CCFX,2019-02-14,IH1902.CCFX,4507.84,4524.34,0.003660289628735658,4533.8,0.0026538104294748788,2572.64,2579.44,0.002643199203930635,2578.8,-0.0014713854255400394,0.0010170904248050228,1.0,0.004125195855014918,0.004125195855014918,1.2879561793463334,0.0,1.0674001649711955,0.004125195855014918
935,IC1903.CCFX,2019-02-15,IH1903.CCFX,4523.9399,4544.0,0.004434210100801694,4502.6,-0.010678502373000387,2566.34,2561.64,-0.0018314019186859154,2526.8,-0.017191754181252406,0.00626561201948761,1.0,0.0065132518082520185,0.0065132518082520185,1.2963449622604104,0.0,1.0743524110258227,0.0065132518082520185
936,IC1903.CCFX,2019-02-18,IH1903.CCFX,4527.97,4554.42,0.0058414697977238195,4677.0,0.02583786629233198,2540.53,2557.7199,0.0067662653068454315,2585.0,0.0073260073260073,-0.000924795509121612,-1.0,0.01851185896632468,-0.01851185896632468,1.2723472071473403,0.0004,1.0540344097483716,-0.01891185896632468
937,IC1903.CCFX,2019-02-19,IH1903.CCFX,4683.33,4696.22,0.0027523151262029977,4659.0,-0.010407816482582821,2586.86,2590.65,0.0014650966809182098,2580.0,-0.006928406466512715,0.001287218445284788,1.0,-0.003479410016070106,-0.003479410016070106,1.267920189530873,0.0004,1.0499453781019112,-0.003879410016070106
938,IC1903.CCFX,2019-02-20,IH1903.CCFX,4667.35,4661.71,-0.001208394485093356,4652.0,-0.0018452559756255704,2593.79,2589.62,-0.0016076860501428314,2591.4,-0.001387283236994219,0.0003992915650494755,1.0,-0.00045797273863135146,-0.00045797273863135146,1.2673395166493076,0.0,1.0494645317416886,-0.00045797273863135146
939,IC1903.CCFX,2019-02-21,IH1903.CCFX,4666.28,4665.64,-0.0001371542213496335,4662.0,-0.0003002101471029084,2586.7399,2583.07,-0.001418735606158128,2580.8,-0.0023965983764977494,0.0012815813848084945,1.0,0.002096388229394841,0.002096388229394841,1.269996352294658,0.0,1.0516646168331991,0.002096388229394841
940,IC1903.CCFX,2019-02-22,IH1903.CCFX,4651.54,4670.06,0.003981477102207087,4804.8,0.02952646239554313,2576.0,2565.23,-0.004180900621117978,2635.0,0.025930540414265568,0.008162377723325065,1.0,0.003595921981277561,0.003595921981277561,1.2745631600940166,0.0,1.0554463207458014,0.003595921981277561
941,IC1903.CCFX,2019-02-25,IH1903.CCFX,4840.54,4885.3,0.009246902205126029,5123.0,0.04923606275345094,2652.91,2695.71,0.016133227286263097,2836.0,0.05270972531551599,-0.006886325081137068,-1.0,-0.0034736625620650496,0.0034736625620650496,1.2789905624262226,0.0004,1.058690406588147,0.0030736625620650495
942,IC1903.CCFX,2019-02-26,IH1903.CCFX,5059.28,5029.25,-0.0059356272038708635,5063.2,0.004762660739799918,2781.31,2776.58,-0.001700637469393973,2749.0,-0.015048369759942726,-0.0042349897344768905,-1.0,0.019811030499742643,-0.019811030499742643,1.2536524413851136,0.0,1.0377166586534443,-0.019811030499742643
