,instrumentID_IC,tradedate,instrumentID_IH
545,IC1707                        ,2017/7/10,IH1707                        
546,IC1707                        ,2017/7/11,IH1707                        
547,IC1707                        ,2017/7/12,IH1707                        
548,IC1707                        ,2017/7/13,IH1707                        
549,IC1707                        ,2017/7/14,IH1707                        
550,IC1707                        ,2017/7/17,IH1707                        
551,IC1707                        ,2017/7/18,IH1707                        
552,IC1707                        ,2017/7/19,IH1707                        
553,IC1707                        ,2017/7/20,IH1707                        
554,IC1708                        ,2017/7/21,IH1708                        
555,IC1708                        ,2017/7/24,IH1708                        
556,IC1708                        ,2017/7/25,IH1708                        
557,IC1708                        ,2017/7/26,IH1708                        
558,IC1708                        ,2017/7/27,IH1708                        
559,IC1708                        ,2017/7/28,IH1708                        
560,IC1708                        ,2017/7/31,IH1708                        
561,IC1708                        ,2017/8/1,IH1708                        
562,IC1708                        ,2017/8/2,IH1708                        
563,IC1708                        ,2017/8/3,IH1708                        
564,IC1708                        ,2017/8/4,IH1708                        
565,IC1708                        ,2017/8/7,IH1708                        
566,IC1708                        ,2017/8/8,IH1708                        
567,IC1708                        ,2017/8/9,IH1708                        
568,IC1708                        ,2017/8/10,IH1708                        
569,IC1708                        ,2017/8/11,IH1708                        
570,IC1708                        ,2017/8/14,IH1708                        
571,IC1708                        ,2017/8/15,IH1708                        
572,IC1708                        ,2017/8/16,IH1708                        
573,IC1708                        ,2017/8/17,IH1708                        
574,IC1709    ,2017/8/18,IH1709    
575,IC1709    ,2017/8/21,IH1709    
576,IC1709    ,2017/8/22,IH1709    
577,IC1709    ,2017/8/23,IH1709    
578,IC1709    ,2017/8/24,IH1709    
579,IC1709    ,2017/8/25,IH1709    
580,IC1709    ,2017/8/28,IH1709    
581,IC1709    ,2017/8/29,IH1709    
582,IC1709    ,2017/8/30,IH1709    
583,IC1709    ,2017/8/31,IH1709    
584,IC1709    ,2017/9/1,IH1709    
585,IC1709    ,2017/9/4,IH1709    
586,IC1709    ,2017/9/5,IH1709    
587,IC1709    ,2017/9/6,IH1709    
588,IC1709    ,2017/9/7,IH1709    
589,IC1709    ,2017/9/8,IH1709    
590,IC1709    ,2017/9/11,IH1709    
591,IC1709    ,2017/9/12,IH1709    
592,IC1709    ,2017/9/13,IH1709    
593,IC1709    ,2017/9/14,IH1709    
594,IC1710                        ,2017/9/15,IH1710                        
595,IC1710                        ,2017/9/18,IH1710                        
596,IC1710                        ,2017/9/19,IH1710                        
597,IC1710                        ,2017/9/20,IH1710                        
598,IC1710                        ,2017/9/21,IH1710                        
599,IC1710                        ,2017/9/22,IH1710                        
600,IC1710                        ,2017/9/25,IH1710                        
601,IC1710                        ,2017/9/26,IH1710                        
602,IC1710                        ,2017/9/27,IH1710                        
603,IC1710                        ,2017/9/28,IH1710                        
604,IC1710                        ,2017/9/29,IH1710                        
605,IC1710                        ,2017/10/9,IH1710                        
606,IC1710                        ,2017/10/10,IH1710                        
607,IC1710                        ,2017/10/11,IH1710                        
608,IC1710                        ,2017/10/12,IH1710                        
609,IC1710                        ,2017/10/13,IH1710                        
610,IC1710                        ,2017/10/16,IH1710                        
611,IC1710                        ,2017/10/17,IH1710                        
612,IC1710                        ,2017/10/18,IH1710                        
613,IC1710                        ,2017/10/19,IH1710                        
614,IC1711                        ,2017/10/20,IH1711                        
615,IC1711                        ,2017/10/23,IH1711                        
616,IC1711                        ,2017/10/24,IH1711                        
617,IC1711                        ,2017/10/25,IH1711                        
618,IC1711                        ,2017/10/26,IH1711                        
619,IC1711                        ,2017/10/27,IH1711                        
620,IC1711                        ,2017/10/30,IH1711                        
621,IC1711                        ,2017/10/31,IH1711                        
622,IC1711                        ,2017/11/1,IH1711                        
623,IC1711                        ,2017/11/2,IH1711                        
624,IC1711                        ,2017/11/3,IH1711                        
625,IC1711                        ,2017/11/6,IH1711                        
