,instrumentID,tradedate
593,IC1709    ,2017-09-14
594,IC1710                        ,2017-09-15
595,IC1710                        ,2017-09-18
596,IC1710                        ,2017-09-19
597,IC1710                        ,2017-09-20
598,IC1710                        ,2017-09-21
599,IC1710                        ,2017-09-22
600,IC1710                        ,2017-09-25
601,IC1710                        ,2017-09-26
602,IC1710                        ,2017-09-27
603,IC1710                        ,2017-09-28
604,IC1710                        ,2017-09-29
605,IC1710                        ,2017-10-09
606,IC1710                        ,2017-10-10
607,IC1710                        ,2017-10-11
608,IC1710                        ,2017-10-12
609,IC1710                        ,2017-10-13
610,IC1710                        ,2017-10-16
611,IC1710                        ,2017-10-17
612,IC1710                        ,2017-10-18
613,IC1710                        ,2017-10-19
614,IC1711                        ,2017-10-20
615,IC1711                        ,2017-10-23
616,IC1711                        ,2017-10-24
617,IC1711                        ,2017-10-25
618,IC1711                        ,2017-10-26
619,IC1711                        ,2017-10-27
620,IC1711                        ,2017-10-30
621,IC1711                        ,2017-10-31
622,IC1711                        ,2017-11-01
623,IC1711                        ,2017-11-02
624,IC1711                        ,2017-11-03
625,IC1711                        ,2017-11-06
626,IC1711                        ,2017-11-07
627,IC1711                        ,2017-11-08
628,IC1711                        ,2017-11-09
629,IC1711                        ,2017-11-10
630,IC1711                        ,2017-11-13
631,IC1711                        ,2017-11-14
632,IC1711                        ,2017-11-15
633,IC1711                        ,2017-11-16
634,IC1712                        ,2017-11-17
635,IC1712                        ,2017-11-20
636,IC1712                        ,2017-11-21
637,IC1712                        ,2017-11-22
638,IC1712                        ,2017-11-23
639,IC1712                        ,2017-11-24
640,IC1712                        ,2017-11-27
641,IC1712                        ,2017-11-28
642,IC1712                        ,2017-11-29
643,IC1712                        ,2017-11-30
644,IC1712                        ,2017-12-01
645,IC1712                        ,2017-12-04
646,IC1712                        ,2017-12-05
647,IC1712                        ,2017-12-06
648,IC1712                        ,2017-12-07
649,IC1712                        ,2017-12-08
650,IC1712                        ,2017-12-11
651,IC1712                        ,2017-12-12
652,IC1712                        ,2017-12-13
653,IC1712                        ,2017-12-14
654,IC1801                        ,2017-12-15
655,IC1801                        ,2017-12-18
656,IC1801                        ,2017-12-19
657,IC1801                        ,2017-12-20
658,IC1801                        ,2017-12-21
659,IC1801                        ,2017-12-22
660,IC1801                        ,2017-12-25
661,IC1801                        ,2017-12-26
662,IC1801                        ,2017-12-27
663,IC1801                        ,2017-12-28
664,IC1801                        ,2017-12-29
665,IC1801                        ,2018-01-02
666,IC1801                        ,2018-01-03
667,IC1801                        ,2018-01-04
668,IC1801                        ,2018-01-05
669,IC1801                        ,2018-01-08
670,IC1801                        ,2018-01-09
671,IC1801                        ,2018-01-10
672,IC1801                        ,2018-01-11
673,IC1801                        ,2018-01-12
674,IC1801                        ,2018-01-15
675,IC1801                        ,2018-01-16
676,IC1801                        ,2018-01-17
677,IC1801                        ,2018-01-18
678,IC1802                        ,2018-01-19
679,IC1802                        ,2018-01-22
680,IC1802                        ,2018-01-23
681,IC1802                        ,2018-01-24
682,IC1802                        ,2018-01-25
683,IC1802                        ,2018-01-26
684,IC1802                        ,2018-01-29
685,IC1802                        ,2018-01-30
686,IC1802                        ,2018-01-31
687,IC1802                        ,2018-02-01
688,IC1802                        ,2018-02-02
689,IC1802                        ,2018-02-05
690,IC1802                        ,2018-02-06
691,IC1802                        ,2018-02-07
692,IC1802                        ,2018-02-08
693,IC1802                        ,2018-02-09
694,IC1802                        ,2018-02-12
695,IC1802                        ,2018-02-13
696,IC1802                        ,2018-02-14
697,IC1803                        ,2018-02-22
698,IC1803                        ,2018-02-23
699,IC1803                        ,2018-02-26
700,IC1803                        ,2018-02-27
701,IC1803                        ,2018-02-28
702,IC1803                        ,2018-03-01
703,IC1803                        ,2018-03-02
704,IC1803                        ,2018-03-05
705,IC1803                        ,2018-03-06
706,IC1803                        ,2018-03-07
707,IC1803                        ,2018-03-08
708,IC1803                        ,2018-03-09
709,IC1803                        ,2018-03-12
710,IC1803                        ,2018-03-13
711,IC1803                        ,2018-03-14
712,IC1803                        ,2018-03-15
713,IC1804                        ,2018-03-16
714,IC1804                        ,2018-03-19
715,IC1804                        ,2018-03-20
716,IC1804                        ,2018-03-21
717,IC1804                        ,2018-03-22
718,IC1804                        ,2018-03-23
719,IC1804                        ,2018-03-26
720,IC1804                        ,2018-03-27
721,IC1804                        ,2018-03-28
722,IC1804                        ,2018-03-29
723,IC1804                        ,2018-03-30
724,IC1804                        ,2018-04-02
725,IC1804                        ,2018-04-03
726,IC1804                        ,2018-04-04
727,IC1804                        ,2018-04-09
728,IC1804                        ,2018-04-10
729,IC1804                        ,2018-04-11
730,IC1804                        ,2018-04-12
731,IC1804                        ,2018-04-13
732,IC1804                        ,2018-04-16
733,IC1804                        ,2018-04-17
734,IC1804                        ,2018-04-18
735,IC1804                        ,2018-04-19
736,IC1805                        ,2018-04-20
737,IC1805                        ,2018-04-23
738,IC1805                        ,2018-04-24
739,IC1805                        ,2018-04-25
740,IC1805                        ,2018-04-26
741,IC1805                        ,2018-04-27
742,IC1805                        ,2018-05-02
743,IC1805                        ,2018-05-03
744,IC1805                        ,2018-05-04
745,IC1805                        ,2018-05-07
746,IC1805                        ,2018-05-08
747,IC1805                        ,2018-05-09
748,IC1805                        ,2018-05-10
749,IC1805                        ,2018-05-11
750,IC1805                        ,2018-05-14
751,IC1805                        ,2018-05-15
752,IC1805                        ,2018-05-16
753,IC1805                        ,2018-05-17
754,IC1806                        ,2018-05-18
755,IC1806                        ,2018-05-21
756,IC1806                        ,2018-05-22
757,IC1806                        ,2018-05-23
758,IC1806                        ,2018-05-24
759,IC1806                        ,2018-05-25
760,IC1806                        ,2018-05-28
761,IC1806                        ,2018-05-29
762,IC1806                        ,2018-05-30
763,IC1806                        ,2018-05-31
764,IC1806                        ,2018-06-01
765,IC1806                        ,2018-06-04
766,IC1806                        ,2018-06-05
767,IC1806                        ,2018-06-06
768,IC1806                        ,2018-06-07
769,IC1806                        ,2018-06-08
770,IC1806                        ,2018-06-11
771,IC1806                        ,2018-06-12
772,IC1806                        ,2018-06-13
773,IC1806                        ,2018-06-14
774,IC1807                        ,2018-06-15
775,IC1807                        ,2018-06-19
776,IC1807                        ,2018-06-20
777,IC1807                        ,2018-06-21
778,IC1807                        ,2018-06-22
779,IC1807                        ,2018-06-25
780,IC1807                        ,2018-06-26
781,IC1807                        ,2018-06-27
782,IC1807                        ,2018-06-28
783,IC1807                        ,2018-06-29
784,IC1807                        ,2018-07-02
785,IC1807                        ,2018-07-03
786,IC1807                        ,2018-07-04
787,IC1807                        ,2018-07-05
788,IC1807                        ,2018-07-06
789,IC1807                        ,2018-07-09
790,IC1807                        ,2018-07-10
791,IC1807                        ,2018-07-11
792,IC1807                        ,2018-07-12
793,IC1807                        ,2018-07-13
794,IC1807                        ,2018-07-16
795,IC1807                        ,2018-07-17
796,IC1807                        ,2018-07-18
797,IC1807                        ,2018-07-19
798,IC1808                        ,2018-07-20
799,IC1808                        ,2018-07-23
800,IC1808                        ,2018-07-24
801,IC1808                        ,2018-07-25
802,IC1808                        ,2018-07-26
803,IC1808                        ,2018-07-27
804,IC1808                        ,2018-07-30
805,IC1808                        ,2018-07-31
806,IC1808                        ,2018-08-01
807,IC1808                        ,2018-08-02
808,IC1808                        ,2018-08-03
809,IC1808                        ,2018-08-06
810,IC1808                        ,2018-08-07
811,IC1808                        ,2018-08-08
812,IC1808                        ,2018-08-09
813,IC1808                        ,2018-08-10
814,IC1808                        ,2018-08-13
815,IC1808                        ,2018-08-14
816,IC1808                        ,2018-08-15
817,IC1808                        ,2018-08-16
818,IC1809                        ,2018-08-17
819,IC1809                        ,2018-08-20
820,IC1809                        ,2018-08-21
821,IC1809                        ,2018-08-22
822,IC1809                        ,2018-08-23
823,IC1809                        ,2018-08-24
824,IC1809                        ,2018-08-27
825,IC1809                        ,2018-08-28
826,IC1809                        ,2018-08-29
827,IC1809                        ,2018-08-30
828,IC1809                        ,2018-08-31
829,IC1809                        ,2018-09-03
830,IC1809                        ,2018-09-04
831,IC1809                        ,2018-09-05
832,IC1809                        ,2018-09-06
833,IC1809                        ,2018-09-07
834,IC1809                        ,2018-09-10
835,IC1809                        ,2018-09-11
836,IC1809                        ,2018-09-12
837,IC1809                        ,2018-09-13
838,IC1809                        ,2018-09-14
839,IC1809                        ,2018-09-17
840,IC1809                        ,2018-09-18
841,IC1809                        ,2018-09-19
842,IC1809                        ,2018-09-20
843,IC1810                        ,2018-09-21
844,IC1810                        ,2018-09-25
845,IC1810                        ,2018-09-26
846,IC1810                        ,2018-09-27
847,IC1810                        ,2018-09-28
848,IC1810                        ,2018-10-08
849,IC1810                        ,2018-10-09
