,instrumentID,tradedate
325,IH1608    ,2016-08-10
326,IH1608    ,2016-08-11
327,IH1608    ,2016-08-12
328,IH1608    ,2016-08-15
329,IH1608    ,2016-08-16
330,IH1608    ,2016-08-17
331,IH1608    ,2016-08-18
332,IH1609    ,2016-08-19
333,IH1609    ,2016-08-22
334,IH1609    ,2016-08-23
335,IH1609    ,2016-08-24
336,IH1609    ,2016-08-25
337,IH1609    ,2016-08-26
338,IH1609    ,2016-08-29
339,IH1609    ,2016-08-30
340,IH1609    ,2016-08-31
341,IH1609    ,2016-09-01
342,IH1609    ,2016-09-02
343,IH1609    ,2016-09-05
344,IH1609    ,2016-09-06
345,IH1609    ,2016-09-07
346,IH1609    ,2016-09-08
347,IH1609    ,2016-09-09
348,IH1609    ,2016-09-12
349,IH1609    ,2016-09-13
350,IH1609    ,2016-09-14
351,IH1610    ,2016-09-19
352,IH1610    ,2016-09-20
353,IH1610    ,2016-09-21
354,IH1610    ,2016-09-22
355,IH1610    ,2016-09-23
356,IH1610    ,2016-09-26
357,IH1610    ,2016-09-27
358,IH1610    ,2016-09-28
359,IH1610    ,2016-09-29
360,IH1610    ,2016-09-30
361,IH1610    ,2016-10-10
362,IH1610    ,2016-10-11
363,IH1610    ,2016-10-12
364,IH1610    ,2016-10-13
365,IH1610    ,2016-10-14
366,IH1610    ,2016-10-17
367,IH1610    ,2016-10-18
368,IH1610    ,2016-10-19
369,IH1610    ,2016-10-20
370,IH1611    ,2016-10-21
371,IH1611    ,2016-10-24
372,IH1611    ,2016-10-25
373,IH1611    ,2016-10-26
374,IH1611    ,2016-10-27
375,IH1611    ,2016-10-28
376,IH1611    ,2016-10-31
377,IH1611    ,2016-11-01
378,IH1611    ,2016-11-02
379,IH1611    ,2016-11-03
380,IH1611    ,2016-11-04
381,IH1611    ,2016-11-07
382,IH1611    ,2016-11-08
383,IH1611    ,2016-11-09
384,IH1611    ,2016-11-10
385,IH1611    ,2016-11-11
386,IH1611    ,2016-11-14
387,IH1611    ,2016-11-15
388,IH1611    ,2016-11-16
389,IH1611    ,2016-11-17
390,IH1612    ,2016-11-18
391,IH1612    ,2016-11-21
392,IH1612    ,2016-11-22
393,IH1612    ,2016-11-23
394,IH1612    ,2016-11-24
395,IH1612    ,2016-11-25
396,IH1612    ,2016-11-28
397,IH1612    ,2016-11-29
398,IH1612    ,2016-11-30
399,IH1612    ,2016-12-01
400,IH1612    ,2016-12-02
401,IH1612    ,2016-12-05
402,IH1612    ,2016-12-06
403,IH1612    ,2016-12-07
404,IH1612    ,2016-12-08
405,IH1612    ,2016-12-09
406,IH1612    ,2016-12-12
407,IH1612    ,2016-12-13
408,IH1612    ,2016-12-14
409,IH1612    ,2016-12-15
410,IH1701    ,2016-12-16
411,IH1701    ,2016-12-19
412,IH1701    ,2016-12-20
413,IH1701    ,2016-12-21
414,IH1701    ,2016-12-22
415,IH1701    ,2016-12-23
416,IH1701    ,2016-12-26
417,IH1701    ,2016-12-27
418,IH1701    ,2016-12-28
419,IH1701    ,2016-12-29
420,IH1701    ,2016-12-30
