,tradedate,ICmIH_f,dbasis,signal,ret,cum
525,2017-06-14,0.013045534800315752,16.52000000000089,1.0,0.013045534800315752,1.9355947882001414
526,2017-06-15,0.015484663107846644,7.309999999999945,1.0,0.015484663107846644,1.9655668214087245
527,2017-06-16,0.0015052971529859241,8.800000000000637,1.0,0.0015052971529859241,1.9685255835489945
528,2017-06-19,-0.00926651119054652,29.20999999999958,1.0,-0.00926651119054652,1.9502842192001606
529,2017-06-20,0.009728896896103843,36.090000000000146,1.0,0.009728896896103843,1.9692583332868572
530,2017-06-21,-0.009748805682091079,17.470000000000255,1.0,-0.009748805682091079,1.950060416457805
531,2017-06-22,-0.018492274917467702,27.139999999999418,1.0,-0.018492274917467702,1.9139993631309957
532,2017-06-23,-0.009191965403714286,20.269999999999982,1.0,-0.009191965403714286,1.8964059472023644
533,2017-06-26,0.018457851134045626,43.810000000000855,1.0,0.018457851134045626,1.9314095258655444
534,2017-06-27,-0.008114023975681138,7.920000000000073,1.0,-0.008114023975681138,1.9157380226658123
535,2017-06-28,0.005900572415937954,33.070000000000164,1.0,0.005900572415937954,1.9270419735985178
536,2017-06-29,-0.0023143096349206504,15.769999999999982,1.0,-0.0023143096349206504,1.9225822017921224
537,2017-06-30,0.006913015131568494,21.610000000000127,1.0,0.006913015131568494,1.9358730416447953
538,2017-07-03,0.013946621817490007,14.990000000000236,1.0,0.013946621817490007,1.9628719308432894
539,2017-07-04,0.006129018795964867,6.029999999999745,1.0,0.006129018795964867,1.9749024098014998
540,2017-07-05,-0.012969257196600702,-0.6999999999998181,-1.0,0.012969257196600702,2.000515427092402
541,2017-07-06,-0.00219754463696562,16.46000000000049,1.0,-0.00219754463696562,1.996119205144428
542,2017-07-07,0.009147551565924809,32.76999999999998,1.0,0.009147551565924809,2.0143788085052194
543,2017-07-10,-0.008015980697244077,22.550000000000637,1.0,-0.008015980697244077,1.9982315868593041
544,2017-07-11,-0.02132501269180871,27.65000000000009,1.0,-0.02132501269180871,1.9556192729083564
545,2017-07-12,0.0011431462093510962,17.0,1.0,0.0011431462093510962,1.9578548316671156
546,2017-07-13,-0.01316532263663854,36.850000000000364,1.0,-0.01316532263663854,1.9320790411325164
547,2017-07-14,-0.013433135397760459,38.380000000000564,1.0,-0.013433135397760459,1.906125161773808
548,2017-07-17,-0.045700770927889066,38.559999999999945,1.0,-0.045700770927889066,1.8190137723956978
549,2017-07-18,0.01700886556028555,50.25,1.0,0.01700886556028555,1.8499531331026842
550,2017-07-19,0.005950595579420261,34.320000000000164,1.0,0.005950595579420261,1.8609614560386598
551,2017-07-20,0.0042092613885169605,31.4699999999998,1.0,0.0042092613885169605,1.8687947292410816
552,2017-07-21,0.01623196555087266,29.829999999999927,1.0,0.01623196555087266,1.8991289409077754
553,2017-07-24,-0.0015841298435410687,85.89999999999964,1.0,-0.0015841298435410687,1.896120474075751
554,2017-07-25,0.007158065523850117,91.94999999999982,1.0,0.007158065523850117,1.9096930286702989
555,2017-07-26,0.002244833238505569,72.13000000000056,1.0,0.002244833238505569,1.9139799710564005
556,2017-07-27,0.009405892960461123,72.5,1.0,0.009405892960461123,1.9319826617926232
557,2017-07-28,0.008116197306457481,50.99000000000069,1.0,0.008116197306457481,1.9476630142683868
558,2017-07-31,0.011860510260428257,29.470000000000255,1.0,0.011860510260428257,1.9707632914329738
559,2017-08-01,-0.019320945417773232,32.879999999999654,1.0,-0.019320945417773232,1.9326862814478463
560,2017-08-02,-0.005343073491965083,39.129999999999654,1.0,-0.005343073491965083,1.9223597966091577
561,2017-08-03,0.016460223887653887,32.63000000000011,1.0,0.016460223887653887,1.9540022692539691
562,2017-08-04,-0.00038935977054135087,28.15000000000009,1.0,-0.00038935977054135087,1.9532414593787752
563,2017-08-07,0.011900426396624178,38.7199999999998,1.0,0.011900426396624178,1.9764858656009474
564,2017-08-08,-0.0016973422165605485,24.840000000000146,1.0,-0.0016973422165605485,1.9731310927008276
565,2017-08-09,0.014487955857051763,33.14000000000078,1.0,0.014487955857051763,2.0017177288720536
566,2017-08-10,-0.006537548116788449,19.8400000000006,1.0,-0.006537548116788449,1.988631402903324
567,2017-08-11,-0.0012389283778595425,34.07999999999993,1.0,-0.0012389283778595425,1.9861676310251646
568,2017-08-14,0.015084016415689225,15.529999999999745,1.0,0.015084016415689225,2.0161270161758584
569,2017-08-15,-0.006095514244082468,1.3900000000007822,1.0,-0.006095514244082468,2.003837685230879
570,2017-08-16,0.007967222772692649,21.720000000000255,1.0,0.007967222772692649,2.01980270646943
571,2017-08-17,0.004584740254342568,5.399999999999636,1.0,0.004584740254342568,2.0290629772436106
572,2017-08-18,-0.007355116147695533,-1.4500000000002728,-1.0,0.007355116147695533,2.043986971112226
573,2017-08-21,0.011026064331339585,64.09999999999945,1.0,0.011026064331339585,2.0665241029481294
574,2017-08-22,-0.014206809185318012,45.55999999999949,1.0,-0.014206809185318012,2.037165389340685
575,2017-08-23,-0.01520049876767684,41.67999999999938,1.0,-0.01520049876767684,2.006199459350458
576,2017-08-24,-0.0016193147166676679,41.999999999999545,1.0,-0.0016193147166676679,2.002950791041361
577,2017-08-25,-0.010715566344845323,36.58999999999969,1.0,-0.010715566344845323,1.981488038954497
578,2017-08-28,0.0032685921049439,27.890000000000327,1.0,0.0032685921049439,1.9879647151146642
579,2017-08-29,-0.005310111779550585,15.11999999999989,1.0,-0.005310111779550585,1.977408400263603
