,tradedate,ICmIH,signal_x,signal_y,signal,ret,cum,fee_cum,fee,fee_ret
710,2018-03-15,-0.01161762642771574,1.0,-1.0,0.0,-0.0,1.7758434733661226,1.6532487766031172,0.0002,-0.0002
711,2018-03-16,0.0038746604769928994,1.0,-1.0,0.0,0.0,1.7758434733661226,1.6532487766031172,0.0,0.0
712,2018-03-19,-0.012140382232028473,1.0,1.0,1.0,-0.012140382232028473,1.7542840548152048,1.6328470547752012,0.0002,-0.012340382232028473
713,2018-03-20,0.002852397305703596,1.0,-1.0,0.0,0.0,1.7542840548152048,1.632520485364246,0.0002,-0.0002
714,2018-03-21,-0.004837982489317056,1.0,1.0,1.0,-0.004837982489317056,1.7457968592767206,1.6242958757455297,0.0002,-0.0050379824893170555
715,2018-03-22,0.008238052423841053,1.0,-1.0,0.0,0.0,1.7457968592767206,1.6239710165703807,0.0002,-0.0002
716,2018-03-23,-0.018001128543280134,1.0,1.0,1.0,-0.018001128543280134,1.7143705456024254,1.5944129113472219,0.0002,-0.018201128543280133
717,2018-03-26,0.033596700771815716,1.0,-1.0,0.0,0.0,1.7143705456024254,1.5940940287649525,0.0002,-0.0002
718,2018-03-27,0.02415007343995896,1.0,1.0,1.0,0.02415007343995896,1.7557727201820263,1.6322726978240731,0.0002,0.02395007343995896
719,2018-03-28,0.010073377443053021,1.0,1.0,1.0,0.010073377443053021,1.773459281496636,1.6487151967992455,0.0,0.010073377443053021
720,2018-03-29,-0.007685728037868542,1.0,1.0,1.0,-0.007685728037868542,1.759828955772819,1.6360436201847457,0.0,-0.007685728037868542
721,2018-03-30,0.022559066881570083,1.0,-1.0,0.0,0.0,1.759828955772819,1.6357164114607088,0.0002,-0.0002
722,2018-04-02,0.0017847095404032148,1.0,1.0,1.0,0.0017847095404032148,1.7629697392996644,1.6383085468633445,0.0002,0.0015847095404032147
723,2018-04-03,-0.01071934616049385,1.0,1.0,1.0,-0.01071934616049385,1.7440718563936357,1.6207469504318206,0.0,-0.01071934616049385
724,2018-04-04,-0.006388924692200344,1.0,-1.0,0.0,-0.0,1.7440718563936357,1.6204228010417343,0.0002,-0.0002
725,2018-04-09,-0.006368220137884772,1.0,-1.0,0.0,-0.0,1.7440718563936357,1.6204228010417343,0.0,-0.0
726,2018-04-10,-0.012481555061085229,1.0,-1.0,0.0,-0.0,1.7440718563936357,1.6204228010417343,0.0,-0.0
727,2018-04-11,0.0018044704074074405,1.0,-1.0,0.0,0.0,1.7440718563936357,1.6204228010417343,0.0,0.0
728,2018-04-12,0.006480641924855551,1.0,1.0,1.0,0.006480641924855551,1.755374561586141,1.630600096421949,0.0002,0.0062806419248555515
729,2018-04-13,0.007484527644617062,1.0,1.0,1.0,0.007484527644617062,1.7685127110189902,1.6428043679209343,0.0,0.007484527644617062
730,2018-04-16,0.0212044416272879,1.0,1.0,1.0,0.0212044416272879,1.806013035566909,1.6776391172455674,0.0,0.0212044416272879
731,2018-04-17,-0.009176581127066244,1.0,1.0,1.0,-0.009176581127066244,1.7894400104294903,1.6622441257842238,0.0,-0.009176581127066244
732,2018-04-18,0.004623471260869622,1.0,-1.0,0.0,0.0,1.7894400104294903,1.661911676959067,0.0002,-0.0002
733,2018-04-19,-0.0050531197328179895,1.0,1.0,1.0,-0.0050531197328179895,1.7803977558020951,1.6531814559346327,0.0002,-0.005253119732817989
734,2018-04-20,0.0005361346666666912,1.0,-1.0,0.0,0.0,1.7803977558020951,1.652850819643446,0.0002,-0.0002
735,2018-04-23,-0.020827163096111042,1.0,-1.0,0.0,-0.0,1.7803977558020951,1.652850819643446,0.0,-0.0
736,2018-04-24,-0.0008284087785160044,1.0,-1.0,0.0,-0.0,1.7803977558020951,1.652850819643446,0.0,-0.0
737,2018-04-25,0.007954451365893327,1.0,1.0,1.0,0.007954451365893327,1.7945598431625687,1.665667770939448,0.0002,0.007754451365893328
738,2018-04-26,-0.003031028735836369,1.0,1.0,1.0,-0.003031028735836369,1.789120480709765,1.6606190840613742,0.0,-0.003031028735836369
739,2018-04-27,0.01261296589198127,1.0,-1.0,0.0,0.0,1.789120480709765,1.660286960244562,0.0002,-0.0002
740,2018-05-02,-0.00627939520190694,1.0,1.0,1.0,-0.00627939520190694,1.7778858861475626,1.6495293048805646,0.0002,-0.00647939520190694
741,2018-05-03,0.009054419439273624,1.0,-1.0,0.0,0.0,1.7778858861475626,1.6491993990195886,0.0002,-0.0002
742,2018-05-04,0.006320463459982427,1.0,1.0,1.0,0.006320463459982427,1.7891229489269769,1.659293263679513,0.0002,0.006120463459982428
743,2018-05-07,0.005648734079408177,1.0,1.0,1.0,0.005648734079408177,1.799229228700832,1.668666170085792,0.0,0.005648734079408177
