,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH_i,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd,IClast_stdzd,IHlast_stdzd,dlast_stdzd,instrumentID_IC,instrumentID_IH,ICprice,IHprice,ICpreclose,IHpreclose,ICpre2close,IHpre2close,ICreturn,IHreturn,ICpreret,IHpreret,ICmIH_f,dret
173,7745.64,7617.69,7763.3,7617.39,7741.05,7674.39,2015-12-31,-0.015935822659716825,0.008686032375211594,2426.81,2420.8,2437.72,2409.76,2432.77,2432.88,-0.004920317169317179,-4.5213902864160715e-05,0.008731246278075755,-1.0,0.9092869946767429,-0.011015505490399645,0.015049730802482062,103682400.0,0.0003075463871700101,67837800.0,0.0018449196759859894,114937093.33333331,21788929.960955005,37095640.0,10810733.009617597,-0.5165326316391547,2.843670264786923,-3.3602028964260775,IC1601.CCFX,IH1601.CCFX,7349.0,2388.8,7511.4,2404.6,7418.2,2411.0,-0.021620470218601032,-0.006570739416118965,0.012563694696826609,-0.002654500207382893,-0.015049730802482062,0.015218194904209503
174,7615.51,6983.4,7624.1,6983.28,7617.69,7741.05,2016-01-04,-0.08326539935334731,-0.015935822659716825,2417.03,2270.46,2417.03,2269.97,2420.8,2432.77,-0.06210343688037024,-0.004920317169317179,-0.011015505490399645,-1.0,0.9158565135039842,-0.02116196247297708,0.007224912338679945,129852000.0,-0.00010369522529429799,106669400.0,0.000371916194884081,114229813.33333331,21798728.148595463,37898166.66666666,12135165.588922512,0.7166558782776167,5.6671030015536505,-4.950447123276033,IC1601.CCFX,IH1601.CCFX,6881.2,2254.0,7349.0,2388.8,7511.4,2404.6,-0.0636549190366037,-0.05643000669792375,-0.021620470218601032,-0.006570739416118965,-0.007224912338679945,-0.015049730802482062
210,5361.79,5473.63,5504.75,5294.54,5350.43,5648.94,2016-03-01,0.023026186680322747,-0.052843542328295134,1944.56,1973.19,1988.57,1931.98,1944.61,1955.4,0.014697034366788262,-0.005518052572363818,-0.047325489755931316,-1.0,0.9089654874123034,0.008329152313534479,-0.007524132863691023,72274400.0,0.00014580393109842052,54822800.0,0.0018805127359655671,89820760.0,17663029.270350076,30362286.66666667,11104474.10752242,-0.9933947190731365,2.202761976522889,-3.1961566955960254,IC1603.CCFX,IH1603.CCFX,5227.4,1948.0,5075.2,1905.2,5417.8,1931.4,0.029988965952080667,0.022464833088389646,-0.06323599985233863,-0.013565289427358462,0.007524132863691023,-0.04967071042498017
214,5686.69,5752.55,5788.47,5681.85,5621.56,5776.98,2016-03-07,0.023301361187997527,-0.026903330113657864,2122.55,2107.67,2133.56,2097.78,2122.27,2053.27,-0.006879426274696399,0.03360493261967501,-0.060508262733332874,-1.0,0.8868548551045627,0.030180787462693925,-0.024325051516187468,93778400.0,2.6683696795037907e-05,135941600.0,0.0015384542781768928,88468626.66666667,17108776.62042329,31474833.33333333,12607083.862772588,0.3103537705317213,8.286354545093985,-7.976000774562264,IC1603.CCFX,IH1603.CCFX,5595.0,2105.0,5452.0,2101.0,5603.8,2027.8,0.02622890682318424,0.0019038553069967712,-0.027088761197758715,0.03609823453989547,0.024325051516187468,-0.06318699573765417
217,5617.42,5521.95,5657.26,5517.02,5617.04,5764.33,2016-03-10,-0.016928845085667943,-0.02555197221533123,2089.86,2061.45,2102.99,2060.06,2111.92,2115.16,-0.023897685518391,-0.0015317990128405068,-0.024020173202490724,-1.0,0.8901342395524499,0.006968840432723057,0.0036977690644773853,95391200.0,-6.586665384933355e-05,221525200.0,0.001508057015471742,91105933.33333331,18773992.71320313,36395060.0,23103555.66330223,0.22825547725141068,8.013058366338882,-7.784802889087471,IC1603.CCFX,IH1603.CCFX,5396.0,2045.8,5500.0,2077.4,5661.0,2100.8,-0.018909090909090875,-0.01521132184461349,-0.028440204910793125,-0.011138613861386149,-0.0036977690644773853,-0.017301591049406984
225,6045.84,6075.49,6130.26,6013.05,6099.48,5949.26,2016-03-22,-0.003933122167791292,0.02525019918443628,2181.98,2173.26,2196.37,2167.43,2193.39,2141.18,-0.009177574439566016,0.024383751015795152,0.0008664481686411207,1.0,0.8949547618683219,0.005244452271774724,0.00541550038373495,160620800.0,0.00040181859036292334,51812000.0,-0.0001503838297679527,91671680.0,20808931.73440613,49966320.0,44483843.33620774,3.3134387137229826,0.04149101924603048,3.2719476944769523,IC1604.CCFX,IH1604.CCFX,5921.6,2162.2,5929.8,2177.0,5799.6,2120.0,-0.0013828459644507074,-0.006798346348185658,0.02244982412580176,0.02688679245283021,0.00541550038373495,-0.0044369683270284455
273,5721.83,5947.32,5947.43,5721.83,5711.32,5739.59,2016-05-31,0.04132144583038588,-0.004925438925080128,2092.22,2155.66,2158.12,2092.22,2092.16,2074.92,0.030351407158152318,0.008308754072446023,-0.01323419299752615,-1.0,0.8749187887767786,0.010970038672233562,-0.02238769370835669,59059600.0,0.00015060082725382173,57320400.0,0.0011245041415248735,83646933.33333333,15836055.867138522,21418420.0,22164400.749048088,-1.552617238763007,1.6198037748230982,-3.1724210135861055,IC1606.CCFX,IH1606.CCFX,5923.2,2144.0,5611.0,2075.0,5630.6,2062.2,0.055640705756549565,0.033253012048192865,-0.003480978936525436,0.006206963437106028,0.02238769370835669,-0.009687942373631464
293,6127.99,6123.49,6143.23,6090.9,6120.2,6107.51,2016-06-30,0.0005375641318912107,0.0020777698276384093,2123.87,2122.63,2130.98,2120.41,2122.97,2102.05,-0.00016015299321214818,0.009952189529268908,-0.007874419701630497,-1.0,0.8751619303158757,0.0006977171251033588,0.0002779018375373976,100633600.0,3.267877742185732e-06,66040600.0,0.0006928588263022117,92049506.66666669,19892550.042856347,19135296.666666668,9249275.109172067,0.43152302318404695,5.071241019398328,-4.639717996214281,IC1607.CCFX,IH1607.CCFX,6051.6,2100.8,6050.4,2099.8,6037.0,2078.6,0.00019833399444668665,0.00047623583198408426,0.0022196455192975413,0.010199172519965494,-0.0002779018375373976,-0.007979527000667952
313,6220.92,6243.29,6273.38,6148.86,6229.29,6494.47,2016-07-28,0.002247447140846015,-0.040831661398081816,2160.16,2163.81,2173.08,2153.89,2173.97,2182.51,-0.004673477554888006,-0.003912925943065693,-0.036918735455016116,-1.0,0.8748578997151572,0.006920924695734021,-0.00034739925285465217,116480000.0,8.026661358462306e-06,103905600.0,0.000128767211516001,105422400.0,15087140.654944165,21213760.0,9972308.147845006,0.7329155505935013,8.292146489463377,-7.5592309388698755,IC1608.CCFX,IH1608.CCFX,6125.6,2159.8,6104.2,2153.0,6393.4,2175.6,0.0035057829035747283,0.003158383650720076,-0.04523414771483092,-0.010387938959367515,0.00034739925285465217,-0.034846208755463404
337,6422.8,6434.21,6441.11,6390.7,6425.75,6427.53,2016-08-31,0.0013165778313815044,-0.0002769337521566495,2222.02,2232.71,2237.66,2218.65,2224.06,2214.26,0.003889283562493962,0.004425857848671777,-0.004702791600828426,-1.0,0.8758207485074833,-0.002572705731112457,0.0011005773539218833,75240800.0,0.00028954418584370417,92786800.0,0.0007919722809701657,101015973.33333331,13409166.443350324,24461970.0,17771181.023104686,-1.9222054884787678,3.844698329906687,-5.766903818385455,IC1609.CCFX,IH1609.CCFX,6343.0,2226.2,6330.0,2219.2,6327.2,2205.2,0.0020537124802526567,0.00315428983417454,0.00044253382222780857,0.006348630509704245,-0.0011005773539218833,-0.0059060966874764365
