,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH_i,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd,IClast_stdzd,IHlast_stdzd,dlast_stdzd,instrumentID_IC,instrumentID_IH,ICprice,IHprice,ICpreclose,IHpreclose,ICpre2close,IHpre2close,ICreturn,IHreturn,ICpreret,IHpreret,ICmIH_f,dret
313,6220.92,6243.29,6273.38,6148.86,6229.29,6494.47,2016-07-28,0.002247447140846015,-0.040831661398081816,2160.16,2163.81,2173.08,2153.89,2173.97,2182.51,-0.004673477554888006,-0.003912925943065693,-0.036918735455016116,1.0,0.7245300334692029,0.006920924695734021,0.003158383650720076,116480000.0,8.026661358462306e-06,103905600.0,0.000128767211516001,105422400.0,15087140.654944165,21213760.0,9972308.147845006,0.7329155505935013,8.292146489463377,-7.5592309388698755,IC1608.CCFX,IH1608.CCFX,6125.6,2159.8,6104.2,2153.0,6393.4,2175.6,0.0035057829035747283,0.003158383650720076,-0.04523414771483092,-0.010387938959367515,0.00034739925285465217,-0.034846208755463404
337,6422.8,6434.21,6441.11,6390.7,6425.75,6427.53,2016-08-31,0.0013165778313815044,-0.0002769337521566495,2222.02,2232.71,2237.66,2218.65,2224.06,2214.26,0.003889283562493962,0.004425857848671777,-0.004702791600828426,1.0,0.7268154111883289,-0.002572705731112457,0.00315428983417454,75240800.0,0.00028954418584370417,92786800.0,0.0007919722809701657,101015973.33333331,13409166.443350324,24461970.0,17771181.023104686,-1.9222054884787678,3.844698329906687,-5.766903818385455,IC1609.CCFX,IH1609.CCFX,6343.0,2226.2,6330.0,2219.2,6327.2,2205.2,0.0020537124802526567,0.00315428983417454,0.00044253382222780857,0.006348630509704245,-0.0011005773539218833,-0.0059060966874764365
346,6324.74,6320.03,6340.87,6284.04,6291.64,6471.05,2016-09-13,0.004512337005931677,-0.027725021441651683,2197.38,2193.19,2199.24,2185.82,2199.98,2229.31,-0.003086391694469892,-0.013156537224522369,-0.014568484217129309,-1.0,0.7273470004450036,0.007598728700401569,0.0007313951362223348,100522400.0,-3.1788113151742787e-06,72876000.0,-0.0005905654891700253,98432680.0,15140031.587868532,25112143.33333333,15409038.765824068,0.13802613210361198,3.0997298009660943,-2.9617036688624823,IC1609.CCFX,IH1609.CCFX,6292.2,2186.0,6256.0,2187.6,6445.0,2224.8,0.0057864450127878,-0.0007313951362223348,-0.029325058184639263,-0.016720604099245032,0.006517840149010135,-0.012604454085394234
393,6667.27,6670.8,6692.14,6650.92,6652.82,6623.05,2016-11-28,0.00270261332788202,0.004494907935165715,2406.7,2403.14,2427.59,2398.41,2393.95,2368.73,0.0038388437519580884,0.0106470555951923,-0.006152147660026586,1.0,0.7313026191723232,-0.0011362304240760679,0.00543842034805886,108212800.0,8.418191712289413e-05,68150800.0,7.51951941915241e-05,89196706.66666667,16904578.390053842,29507566.66666667,8776139.35875906,1.1249078737463123,4.403215554543958,-3.2783076807976457,IC1612.CCFX,IH1612.CCFX,6596.4,2403.4,6564.8,2390.4,6547.6,2356.0,0.004813551060199872,0.00543842034805886,0.002626916732848539,0.0146010186757215,-0.0006248692878589868,-0.01197410194287296
395,6605.36,6585.58,6615.92,6568.8,6620.79,6670.8,2016-11-30,-0.005318096480933511,-0.007496851951789951,2435.81,2419.41,2444.95,2411.56,2441.58,2403.14,-0.00908018578133829,0.01599573890826167,-0.023492590860051614,1.0,0.7236456265135046,0.003762089300404781,-0.010470347648261713,95043200.0,0.000105738743733097,77085600.0,0.0002703898530060922,90426840.0,17195099.45499921,31438906.66666667,11079059.856632387,0.26846951435677013,4.120087256862983,-3.851617742506213,IC1612.CCFX,IH1612.CCFX,6531.2,2419.4,6556.8,2445.0,6596.4,2403.4,-0.003904343582235237,-0.010470347648261713,-0.006003274513370793,0.0173088125156029,0.006566004066026475,-0.02331208702897369
418,6273.82,6320.76,6320.95,6273.75,6263.63,6252.61,2017-01-03,0.009120909121388188,0.001762463995035768,2285.27,2307.89,2311.29,2285.27,2286.9,2275.11,0.009178363723818084,0.005182167016100303,-0.003419703021064535,1.0,0.7317943588257882,-5.7454602429896084e-05,0.011260666842614508,96437600.0,0.00020438338490835759,87591400.0,0.0007702946376988429,82959520.0,14233084.367365947,42500100.0,13783364.705349907,0.9469542688092931,3.271429071487759,-2.3244748026784663,IC1701.CCFX,IH1701.CCFX,6275.8,2299.0,6210.6,2273.4,6215.8,2265.8,0.010498180530061465,0.011260666842614508,-0.000836577753466905,0.0033542236737575948,-0.0007624863125530457,-0.0041908014272245
461,6436.76,6447.92,6464.6,6436.64,6439.38,6497.09,2017-03-10,0.0013262146355705884,-0.008882438137689297,2343.31,2339.23,2347.46,2336.32,2346.55,2358.07,-0.0031194732692677585,-0.0048853511558181175,-0.0039970869818711785,1.0,0.7302277499055412,0.004445687904838347,-0.002140777530399096,81885200.0,3.1058987228771433e-06,49563200.0,0.00020886081344895224,81495293.33333333,14261844.659982702,26346430.0,7562050.742341655,0.02733914693102151,3.0701685020445555,-3.042829355113534,IC1703.CCFX,IH1703.CCFX,6410.4,2330.6,6390.8,2335.6,6449.6,2350.6,0.0030669086812291635,-0.002140777530399096,-0.00911684445547012,-0.006381349442695528,0.0052076862116282605,-0.0027354950127745914
483,6569.24,6615.7,6627.7,6562.76,6576.48,6629.17,2017-04-13,0.00596367661727859,-0.007948204677207027,2369.61,2368.11,2373.37,2364.44,2378.86,2382.11,-0.004518971271953776,-0.0013643366595161857,-0.006583868017690842,1.0,0.7295497869371954,0.010482647889232366,-0.0009284267386899805,97343200.0,0.00015208015463641367,54371200.0,7.987656967967105e-05,86218386.66666667,13487417.552149422,27254490.0,8136952.567924112,0.8248290149184581,3.3325387820120937,-2.507709767093636,IC1704.CCFX,IH1704.CCFX,6610.0,2367.4,6555.8,2369.6,6602.2,2374.0,0.008267488330943484,-0.0009284267386899805,-0.007027960376844057,-0.0018534119629317614,0.009195915069633465,-0.0051745484139122935
491,6139.48,6160.46,6203.68,6131.95,6138.5,6300.71,2017-04-25,0.0035774211941028704,-0.025744717658803484,2337.52,2344.74,2348.6,2334.0,2341.93,2347.67,0.0011998650685545176,-0.0024449773605320635,-0.023299740298271417,1.0,0.7323099065094427,0.0023775561255483524,0.003783319002579555,89640800.0,-9.121917687726631e-05,67741600.0,0.00025199244876850097,88129863.33333333,14287594.189715553,29780046.66666667,10431435.670646826,0.10575165046010818,3.6391494451865256,-3.5333977947264175,IC1705.CCFX,IH1705.CCFX,6128.0,2334.8,6108.4,2326.0,6260.2,2331.4,0.0032086962215964747,0.003783319002579555,-0.02424842656784132,-0.002316204855451698,-0.0005746227809830806,-0.021932221712389618
499,6076.46,5975.54,6083.36,5975.22,6089.68,6176.31,2017-05-08,-0.018743185191997025,-0.014026174204338826,2309.24,2326.1,2326.1,2298.32,2320.6,2325.43,0.002370076704300672,-0.002077035214992473,-0.011949138989346351,1.0,0.7335148851379765,-0.021113261896297697,0.00164544903438113,95022400.0,9.03248904196019e-05,93827400.0,0.0007417373904643476,88747076.66666667,13696344.044021394,29953736.66666667,12390759.092397973,0.4581750657813372,5.154943523397315,-4.696768457615978,IC1705.CCFX,IH1705.CCFX,5951.2,2313.2,6057.8,2309.4,6123.6,2316.2,-0.017597147479282982,0.00164544903438113,-0.010745313214449048,-0.00293584319143414,-0.019242596513664112,-0.0078094700230149075
